Balbilla-verb-indicative: http://127.0.0.1:9999/search/word.html?text_corpus=literature_verse&text_author=Balbilla&word_pos=Verb&start=0&word_mood=indicative,,,,,,
ἦλθες,"ποικιλόθρον’ ἀθανάτ’ Ἀφρόδιτα , παῖ Δίος δολόπλοκε , λίσσομαί σε , μή μ’ ἄσαισι μη -δ’ ὀνίαισι δάμνα , πότνια , θῦμον , ἀλλὰ τυίδ’ ἔλθ’ , αἴ ποτα κα- κἀτέρωτα τὰς ἔμας αὔδας ἀίοισα πήλοι ἔκλυες , πάτρος δὲ δόμον λίποισα χρύσιον ἦλθες ἄρμ’ ὐπασδεύξαισα ·",Sappho,1,"7bc
 6bc",singular,ADV_CO
ἆγον,κάλοι δέ σ’ ἆγον ὤκεες στροῦθοι περὶ γᾶς μελαίνας πύκνα δίννεντες πτέρ’ ἀπ’ ὠρανω- ὠράνωἴθερος διὰ μέσσω ·,Sappho,2,"7bc
 6bc",plural,PRED
ἐξίκοντο,αἶψα δ’ ἐξίκοντο ·,Sappho,3,"7bc
 6bc",plural,PRED
ἤρε’,"σὺ δ’ , ὦ μάκαιρα , μειδιαίσαισ’ ἀθανάτωι προσώπωι ἤρε’ ὄττι δη- δηὖτε πέπονθα κα- κὤττι δη- δηὖτε κάλημμι κα- κὤττι μοι μάλιστα θέλω γένεσθαι μαινόλαι θύμωι ·",Sappho,4,"7bc
 6bc",singular,PRED
πέπονθα,"σὺ δ’ , ὦ μάκαιρα , μειδιαίσαισ’ ἀθανάτωι προσώπωι ἤρε’ ὄττι δη- δηὖτε πέπονθα κα- κὤττι δη- δηὖτε κάλημμι κα- κὤττι μοι μάλιστα θέλω γένεσθαι μαινόλαι θύμωι ·",Sappho,4,"7bc
 6bc",singular,OBJ_CO
κάλημμι,"σὺ δ’ , ὦ μάκαιρα , μειδιαίσαισ’ ἀθανάτωι προσώπωι ἤρε’ ὄττι δη- δηὖτε πέπονθα κα- κὤττι δη- δηὖτε κάλημμι κα- κὤττι μοι μάλιστα θέλω γένεσθαι μαινόλαι θύμωι ·",Sappho,4,"7bc
 6bc",singular,OBJ_CO
θέλω,"σὺ δ’ , ὦ μάκαιρα , μειδιαίσαισ’ ἀθανάτωι προσώπωι ἤρε’ ὄττι δη- δηὖτε πέπονθα κα- κὤττι δη- δηὖτε κάλημμι κα- κὤττι μοι μάλιστα θέλω γένεσθαι μαινόλαι θύμωι ·",Sappho,4,"7bc
 6bc",singular,OBJ_CO
ἀδικήει,"τίς σ’ , ὦ Ψάπφ’ , ἀδικήει ;",Sappho,6,"7bc
 6bc",singular,PRED
διώξει,"καὶ γὰρ αἰ φεύγει , ταχέως διώξει , αἰ δὲ δῶρα μὴ δέκετ’ , ἀλλὰ δώσει , αἰ δὲ μὴ φίλει , ταχέως φιλήσει κα- κωὐκ ἐθέλοισα .",Sappho,7,"7bc
 6bc",singular,PRED_CO
φεύγει,"καὶ γὰρ αἰ φεύγει , ταχέως διώξει , αἰ δὲ δῶρα μὴ δέκετ’ , ἀλλὰ δώσει , αἰ δὲ μὴ φίλει , ταχέως φιλήσει κα- κωὐκ ἐθέλοισα .",Sappho,7,"7bc
 6bc",singular,ADV
